Region,MachineFamily,OnDemand_VCPU_per_Hour,CUD_1yr_VCPU_per_Hour,CUD_3yr_VCPU_per_Hour,CUD_Flex_1yr_VCPU_per_Hour,CUD_Flex_3yr_VCPU_per_Hour,OnDemand_RAM_per_GiB_Hour,CUD_1yr_RAM_per_GiB_Hour,CUD_3yr_RAM_per_GiB_Hour,CUD_Flex_1yr_RAM_per_GiB_Hour,CUD_Flex_3yr_RAM_per_GiB_Hour
us-central1,e2,0.021812,0.013741,0.009815,,,0.002924,0.001842,0.001316,,
us-central1,n2,0.027502,0.019915,0.014225,,,0.000922,0.002669,0.001907,,
us-central1,c3,0.03465,0.018624,0.013303,,,0.003938,0.002494,0.001772,,
us-central1,n4,0.034207,0.020524,0.01466,,,0.003887,0.002332,0.001666,,
us-central1,c2,0.029563,0.018624,0.013303,,,0.003959,0.002494,0.001781,,
us-central1,h3,0.04411,0.03617,0.02647,,,0.00296,0.00243,0.00178,,
us-central1,m2,0.02317,0.01367,0.006951,,,0.005725,0.003378,0.001717,,
us-central1,m3,0.0348,0.02055,0.01045,,,0.0051,0.00302,0.00153,,
us-central1,m4,0.001828,0.010784,0.005484,,,0.00457,0.002696,0.001371,,
us-central1,a2,0.017386,0.019915,0.011064,,,0.00233,0.002669,0.001483,,
us-central1,a3,0.015651,0.018553,0.00987,,,0.001097,0.001616,0.000979,,
us-central1,g2,0.024988,0.015743,0.011245,,,0.002927,0.001844,0.001317,,
us-central1,t2d,0.027502,0.017326,0.012376,,,0.003686,0.002322,0.001659,,
us-central1,t2a,0.0249,,,,,0.0034,,,,
